naics,naics_title,total,know,passes_usd,agreed3_usd,blocked,share_total,share_know,payroll_scored_by_three
621600,Home Health Care Services,86195515600.0,46331044900.0,1364106526.8362827,522216121.38051045,2576251450.7120533,0.01582572500832378,0.02944260225040344,46331044900.0
5320A1,"Rental and Leasing Services (5322, 5323, and 5324 only)",20649771300.0,11768884700.0,1337961482.4979014,699444594.9812067,1811999206.170833,0.06479304119449988,0.11368634467953462,11768884700.0
221100,"Electric Power Generation, Transmission and Distribution",43002216500.0,22678505400.0,1336957667.0466068,607060214.7386447,2686845711.708345,0.031090436164996443,0.058952635699114755,22678505400.0
611600,Other Schools and Instruction,27882845000.0,23354993600.0,1331059016.6155515,864391109.0928789,4865153432.281943,0.04773756109233299,0.05699248046959651,23354993600.0
459100,"Sporting Goods, Hobby, and Musical Instrument Retailers",19854829700.0,16982938900.0,1319905672.109125,704071467.7758255,2882682043.5456514,0.06647781381419378,0.07771950896609096,16982938900.000002
238100,"Foundation, Structure, and Building Exterior Contractors",64407840300.0,17131948000.0,1315259842.9512155,539557766.555791,1975886778.5564249,0.020420803380845787,0.07677234620086493,17131948000.0
481100,Scheduled Air Transportation,53119745700.0,9260567600.0,1290379240.9721487,1048444092.552654,1798032876.3885505,0.024291894171702494,0.13934126899221044,9260567600.0
449100,Furniture and Home Furnishings Retailers,20255263700.0,16069764900.0,1247469276.2615576,616426824.2039205,2573524474.9651003,0.06158741227652136,0.07762834640235201,16069764900.0
512100,Motion Picture and Video Industries,28949367700.0,22916813400.0,1220999266.3543603,485207464.20691955,4381637867.734966,0.04217706165493764,0.05327962684176502,22916813400.0
423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,22844356800.0,13445763300.0,1200251374.2078319,584233240.4350668,1531028780.4202492,0.05254038818934188,0.08926613888910508,13445763300.0
238300,Building Finishing Contractors,52349743900.0,14347172200.0,1194627709.467263,511700828.32315594,1814104875.606722,0.02282012519009215,0.08326572601305106,14347172200.0
